Length,Digits,Entropy,Risky_TLD,IP_Usage,Subdomains,Hyphens,Keywords,DNS_Rec,Domain_Age,Expiry,Has_Form,Pass_Field,IFrame,Link_Ratio,HTTP_Code,SSL_Risk,label
75,18,4.607179904592126,0,0,0,0,1,1,-1,300,0,0,0,0.1,0,0,1
47,7,4.264606075441665,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
26,1,3.738149333192866,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
45,1,4.3390908078646255,0,0,2,0,1,1,-1,300,0,0,0,0.1,0,0,1
23,12,3.5013978254341027,0,1,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
50,0,4.0239818205809055,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
40,0,4.296439344671016,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
39,0,4.201692923824034,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
378,53,5.835922745170307,0,0,2,6,1,1,-1,300,0,0,0,0.1,0,0,1
88,9,4.525589965174509,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
68,4,4.4693448285737665,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
59,11,4.80833664283211,0,0,0,2,0,1,-1,300,0,0,0,0.1,0,0,0
44,0,4.1806892889443334,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
32,0,4.101409765557392,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
19,8,3.3263604079526945,0,1,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
199,31,5.051844122525023,0,0,1,4,0,1,-1,300,0,0,0,0.1,0,0,1
34,2,4.197325708706504,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
20,1,3.6219280948873624,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
57,0,4.104024444972034,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
33,0,3.957294029027326,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,0
72,20,4.776594793736734,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,1
59,4,4.569355872152282,0,0,0,4,0,1,-1,300,0,0,0,0.1,0,0,0
37,0,4.077715447225511,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
186,52,4.8950971096413785,0,0,11,0,0,1,-1,300,0,0,0,0.1,0,0,1
19,0,3.4316235658474312,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
44,4,4.325924732707134,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
48,6,4.4200427723692055,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
37,6,4.296630730201454,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
112,7,4.701912339237158,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
99,8,4.603060065189431,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
49,0,4.38481877255418,0,0,2,2,0,1,-1,300,0,0,0,0.1,0,0,0
61,8,4.403927043960144,0,0,0,3,0,1,-1,300,0,0,0,0.1,0,0,0
30,0,4.164735178725505,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
58,0,4.328169685589631,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
23,0,3.315977716456259,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
29,0,3.450087152944454,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
42,0,3.8442328987631917,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
114,23,5.497118689824081,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
26,4,4.103909910282364,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
40,0,4.146439344671015,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
31,0,4.042433003725894,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
53,1,4.046119927963817,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
37,0,4.023661393171458,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
52,1,4.175743323619087,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
67,19,4.468198891562823,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
440,101,4.964395980944976,0,0,23,1,0,1,-1,300,0,0,0,0.1,0,0,1
40,0,4.015311532225103,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
43,0,4.142095430309688,0,0,0,2,0,1,-1,300,0,0,0,0.1,0,0,0
46,10,4.164228803600909,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
97,8,4.46522373559944,0,0,2,10,0,1,-1,300,0,0,0,0.1,0,0,0
81,22,4.771543601934024,0,0,0,1,1,1,-1,300,0,0,0,0.1,0,0,1
39,0,4.131054782742918,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
58,6,4.435506969885884,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
136,3,4.568063388161907,1,0,3,13,0,1,-1,300,0,0,0,0.1,0,0,1
77,13,4.751913775576796,0,0,1,2,0,1,-1,300,0,0,0,0.1,0,0,1
54,4,4.200884780665438,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
32,0,3.8195488277869583,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
25,0,3.813660689688186,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
60,5,4.6760827384091135,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
48,0,4.0561275426950285,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
185,27,5.851270517510038,1,0,1,6,0,1,-1,300,0,0,0,0.1,0,0,1
57,0,4.024514462943271,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
61,4,4.450040306129111,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
42,0,4.290777839290894,1,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
145,55,4.828075129989151,0,0,2,0,1,1,-1,300,0,0,0,0.1,0,0,1
24,0,3.459147917027245,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
28,0,3.967720100474499,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
55,0,4.269806478801619,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
68,6,4.39040268807008,0,0,2,3,0,1,-1,300,0,0,0,0.1,0,0,0
25,1,4.023465189601647,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
56,0,4.282639243749494,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,1
71,7,4.5476540777884225,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
114,10,5.243357401285307,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
33,0,3.942438726128142,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
31,0,4.002268084440845,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
57,0,4.0495787774674685,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
38,6,4.576617644908666,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
25,14,3.4292750707107134,0,1,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
132,13,5.1266022155786155,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
91,11,4.715559268213782,0,0,6,1,1,1,-1,300,0,0,0,0.1,0,0,1
37,0,3.8305466086383047,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
57,3,4.588404102418294,0,0,1,3,0,1,-1,300,0,0,0,0.1,0,0,0
40,0,4.277567157116929,1,0,1,2,0,1,-1,300,0,0,0,0.1,0,0,0
84,1,4.272471990953104,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
30,2,3.964735178725505,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
63,7,4.6077454006825525,0,0,1,2,0,1,-1,300,0,0,0,0.1,0,0,0
62,7,4.7383240848182595,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
48,0,3.991620711602122,0,0,4,0,0,1,-1,300,0,0,0,0.1,0,0,0
36,0,4.141604167868594,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
30,1,4.056564762130955,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
25,0,3.7532696895151085,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
101,1,4.403303592454545,0,0,6,1,1,1,-1,300,0,0,0,0.1,0,0,1
67,6,4.3388836022056605,0,0,1,3,0,1,-1,300,0,0,0,0.1,0,0,0
29,2,3.771437029461126,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
46,0,4.265424934732509,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
40,0,4.115311532225102,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
202,79,4.8360116673019276,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
41,6,4.387443772646929,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
28,0,3.9137995646056796,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
30,0,4.256564762130954,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
18,4,3.7254805569978684,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
263,92,4.938453590813341,0,0,2,0,1,1,-1,300,0,0,0,0.1,0,0,1
561,152,5.575576982191812,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
24,2,4.136842188131012,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
40,0,4.025070520364182,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
38,1,4.448860987743578,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
77,5,4.504906632607264,0,0,1,9,0,1,-1,300,0,0,0,0.1,0,0,0
69,12,4.316281660796314,0,0,0,6,0,1,-1,300,0,0,0,0.1,0,0,0
35,3,4.250571945454581,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
21,0,3.649001209710341,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
67,2,4.393969416397966,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
52,1,4.2217117760337635,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
79,23,4.58829918523189,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
130,29,5.378223298844647,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
64,6,4.320159765557392,0,0,0,2,0,1,-1,300,0,0,0,0.1,0,0,0
21,0,3.52257158913636,1,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
81,12,4.701453280904812,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
83,0,4.3640771973639785,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
35,1,4.2430101595548555,0,0,0,3,0,1,-1,300,0,0,0,0.1,0,0,1
38,2,4.491219947597179,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
35,0,4.028445159431229,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
84,1,4.270959352115321,0,0,5,2,0,1,-1,300,0,0,0,0.1,0,0,1
38,1,4.45148902643068,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
58,8,4.640236331626008,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
49,0,4.173297793439888,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
72,7,4.622701523438734,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
27,4,4.078418520441602,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
